width,epoch,epochs,train_loss,train_acc,epoch_time,avg_epoch_time,eta_seconds,forward_time,solve_beta_time,pred_loss_time,backward_time,optimizer_time,profiled_sum_time,other_time,Q_norm,orth_error,theta_norm
50,1,20,0.03428923338651657,0.8829166889190674,0.7389404773712158,0.7389404773712158,14.0398690700531,0.05484771728515625,0.4478011131286621,0.03203535079956055,0.11027050018310547,0.07302141189575195,0.7179760932922363,0.020964384078979492,7.071068286895752,1.331657472292136e-06,
50,2,20,0.03327477350831032,0.8879833221435547,0.44661569595336914,0.5927780866622925,10.670005559921265,0.0736701488494873,0.3078651428222656,0.015996217727661133,0.04413175582885742,0.0019378662109375,0.443601131439209,0.0030145645141601562,7.071067810058594,1.363468300041859e-06,
50,3,20,0.032375358045101166,0.8925833106040955,0.4319448471069336,0.5391670068105062,9.165839115778606,0.04737520217895508,0.33211350440979004,0.013825654983520508,0.035599708557128906,0.0011854171752929688,0.4300994873046875,0.0018453598022460938,7.071067810058594,1.4197676136973314e-06,
50,4,20,0.0318002849817276,0.8952166438102722,0.34449005126953125,0.49049776792526245,7.847964286804199,0.028034687042236328,0.2718074321746826,0.013906717300415039,0.026044845581054688,0.0011606216430664062,0.3409543037414551,0.003535747528076172,7.0710673332214355,1.5020440287116799e-06,
50,5,20,0.03266195207834244,0.8961666822433472,0.37012481689453125,0.46642317771911623,6.996347665786743,0.021282434463500977,0.30799055099487305,0.013573646545410156,0.024176597595214844,0.0011224746704101562,0.3681457042694092,0.0019791126251220703,7.071067810058594,1.62209016707493e-06,
50,6,20,0.03099384531378746,0.8980666399002075,0.3302593231201172,0.4437292019526164,6.21220882733663,0.024921655654907227,0.2651238441467285,0.012202024459838867,0.024427413940429688,0.0015244483947753906,0.3281993865966797,0.0020599365234375,7.0710673332214355,1.4676313639938598e-06,
50,7,20,0.030661892145872116,0.8990499973297119,0.335707426071167,0.4282975196838379,5.567867755889893,0.022661447525024414,0.2699127197265625,0.012655258178710938,0.02780461311340332,0.0009407997131347656,0.33397483825683594,0.0017325878143310547,7.071068286895752,1.6454927163067623e-06,
50,8,20,0.030363604426383972,0.8998000025749207,0.34334826469421387,0.4176788628101349,5.012146353721619,0.02400803565979004,0.2814610004425049,0.013012170791625977,0.022088289260864258,0.0008478164672851562,0.3414173126220703,0.0019309520721435547,7.071067810058594,1.432931981071306e-06,
50,9,20,0.030091699212789536,0.9002333283424377,0.32654523849487305,0.40755290455288357,4.483081950081719,0.024667024612426758,0.26561427116394043,0.010976314544677734,0.022207975387573242,0.0013153553009033203,0.3247809410095215,0.0017642974853515625,7.0710673332214355,1.7020649920596043e-06,
50,10,20,0.029856529086828232,0.901033341884613,0.32675957679748535,0.39947357177734377,3.9947357177734375,0.021270036697387695,0.26308393478393555,0.013971090316772461,0.02442145347595215,0.0018680095672607422,0.3246145248413086,0.002145051956176758,7.071067810058594,1.695831542747328e-06,
50,11,20,0.02961944416165352,0.9016166925430298,0.31191039085388184,0.3915132826024836,3.523619543422352,0.021100997924804688,0.2567617893218994,0.010679006576538086,0.02135181427001953,0.0007731914520263672,0.3106667995452881,0.00124359130859375,7.071067810058594,1.801268695089675e-06,
50,12,20,0.10337727516889572,0.8974166512489319,0.29184794425964355,0.38320783774058026,3.065662701924642,0.020421266555786133,0.23670530319213867,0.011153221130371094,0.021253347396850586,0.0011162757873535156,0.2906494140625,0.0011985301971435547,7.071068286895752,1.6368137494282564e-06,
50,13,20,0.02920238859951496,0.902649998664856,0.31456422805786133,0.3779275600726788,2.645492920508752,0.021538496017456055,0.25607967376708984,0.012465715408325195,0.022588491439819336,0.00063323974609375,0.3133056163787842,0.0012586116790771484,7.0710673332214355,1.648299644330109e-06,
50,14,20,0.0290074422955513,0.9026833176612854,0.30603885650634766,0.3727926526750837,2.236755916050502,0.021144390106201172,0.25077390670776367,0.010636329650878906,0.020922422409057617,0.0013616085052490234,0.3048386573791504,0.0012001991271972656,7.071067810058594,1.7521018662591814e-06,
50,15,20,0.028810592368245125,0.9031166434288025,0.3134181499481201,0.3688343524932861,1.8441717624664307,0.020375728607177734,0.2587571144104004,0.011029720306396484,0.021175384521484375,0.0007765293121337891,0.3121144771575928,0.0013036727905273438,7.07106876373291,1.8092241589329205e-06,
50,16,20,0.028577366843819618,0.9029499888420105,0.49353623390197754,0.37662822008132935,1.5065128803253174,0.02095627784729004,0.41123151779174805,0.021650075912475586,0.03497433662414551,0.002081632614135742,0.4908938407897949,0.002642393112182617,7.0710673332214355,1.949570787473931e-06,
50,17,20,0.028375253081321716,0.9033833146095276,0.5593855381011963,0.38737865055308623,1.1621359516592586,0.028000593185424805,0.4721999168395996,0.019883155822753906,0.03519701957702637,0.001630544662475586,0.5569112300872803,0.0024743080139160156,7.071068286895752,2.053274329227861e-06,
50,18,20,0.028195403516292572,0.9039333462715149,0.5902903079986572,0.3986515204111735,0.797303040822347,0.029302597045898438,0.4993915557861328,0.017334461212158203,0.03550314903259277,0.004765033721923828,0.586296796798706,0.003993511199951172,7.071068286895752,1.8757029920379864e-06,
50,19,20,0.02801952138543129,0.9038500189781189,0.648369550704956,0.41179457463716207,0.41179457463716207,0.032501220703125,0.5636489391326904,0.017699241638183594,0.030745267868041992,0.0013420581817626953,0.6459367275238037,0.0024328231811523438,7.071068286895752,2.049773229373386e-06,
50,20,20,0.02788674458861351,0.9041000008583069,0.5466008186340332,0.4185348868370056,0.0,0.03079080581665039,0.4542062282562256,0.0228574275970459,0.03378415107727051,0.0019028186798095703,0.543541431427002,0.00305938720703125,7.0710673332214355,2.0715497157652862e-06,
