width,epochs,lr,precompute_time,total_train_time_before_final_beta,final_beta_time,total_train_time_with_final_beta,avg_epoch_time,first_epoch_time,last_epoch_time,final_train_loss,final_train_acc,num_epochs,avg_forward_time,avg_solve_beta_time,avg_pred_loss_time,avg_backward_time,avg_optimizer_time,avg_other_time,forward_pct,solve_beta_pct,pred_loss_pct,backward_pct,optimizer_pct,other_pct,test_loss,test_acc,eval_time,Q_norm,orth_error,theta_norm,dtype,device
50,20,0.02,0.03891444206237793,8.415218591690063,0.46686720848083496,8.882085800170898,0.4185348868370056,0.7389404773712158,0.5466008186340332,0.02788674458861351,0.9041000008583069,20,0.029443538188934325,0.3336264729499817,0.015377140045166016,0.03193342685699463,0.005065357685089112,0.0030889511108398438,7.0349065549703695,79.71294232394762,3.6740402123645417,7.62981243889253,1.2102593701016293,0.7380390997233179,0.03191351145505905,0.905,0.030061721801757812,7.0710673332214355,2.0715497157652862e-06,,torch.float32,cpu
150,20,0.02,0.07874941825866699,12.976312637329102,0.5779154300689697,13.554228067398071,0.6444743871688843,0.6771535873413086,0.6411738395690918,0.01639406569302082,0.9451666474342346,20,0.04646844863891601,0.5178910851478576,0.022736239433288574,0.05158393383026123,0.0032478928565979003,0.0025467872619628906,7.210286330081722,80.35867607134936,3.5278732384023432,8.004031635277956,0.503959958884571,0.39517276600404383,0.23336519300937653,0.9415,0.032631874084472656,12.247446060180664,4.799834186997032e-06,,torch.float32,cpu
250,20,0.02,0.1287403106689453,15.441575527191162,0.7508697509765625,16.192445278167725,0.7652778506278992,0.8953807353973389,0.7611935138702393,0.012890778481960297,0.9643499851226807,20,0.07021211385726929,0.5905097365379334,0.022047197818756102,0.0754506230354309,0.0046339273452758786,0.0024242520332336424,9.174721808511938,77.16278944352418,2.8809402755700693,9.85924562869875,0.6055222088910334,0.316780634804023,0.014015836641192436,0.9591,0.03991079330444336,15.811387062072754,7.577868927910458e-06,,torch.float32,cpu
