epoch,train_loss,train_acc,test_loss,test_acc,epoch_time,cumulative_time
1,2.305722713470459,0.5551499724388123,3.802926540374756,0.5552999973297119,0.34450531005859375,0.34450674057006836
2,3.7644968032836914,0.38671666383743286,15.949326515197754,0.38440001010894775,0.39852190017700195,0.7432296276092529
3,15.757722854614258,0.408216655254364,12.34203815460205,0.39969998598098755,0.7882764339447021,1.5316996574401855
4,12.019489288330078,0.4138000011444092,12.155890464782715,0.40799999237060547,0.4801039695739746,2.0119926929473877
5,11.924539566040039,0.5343166589736938,11.485391616821289,0.5293999910354614,0.5251853466033936,2.5373473167419434
6,11.296040534973145,0.6758333444595337,7.568401336669922,0.676800012588501,0.586071252822876,3.1236603260040283
7,7.451818943023682,0.6678666472434998,7.072813987731934,0.6687999963760376,0.8642063140869141,3.9880621433258057
8,7.012595176696777,0.6484500169754028,6.74077033996582,0.6442999839782715,0.97487473487854,4.963093042373657
9,6.578292369842529,0.6419166922569275,6.453566551208496,0.6345999836921692,1.0295031070709229,5.992799520492554
10,6.3083672523498535,0.6957166790962219,4.361630439758301,0.6850000023841858,0.8860378265380859,6.879006385803223
11,4.1879658699035645,0.7058333158493042,3.991894245147705,0.7021999955177307,0.8098599910736084,7.689018249511719
12,3.7884020805358887,0.6920833587646484,4.52988862991333,0.678600013256073,0.6173503398895264,8.30654501914978
13,4.309040069580078,0.7252166867256165,3.8731250762939453,0.714900016784668,0.5983550548553467,8.905115842819214
14,3.653017997741699,0.7297833561897278,3.24296236038208,0.722599983215332,0.7400369644165039,9.64533805847168
15,3.036512851715088,0.744783341884613,2.7104194164276123,0.7364000082015991,0.8598482608795166,10.505342721939087
16,2.4638984203338623,0.7425000071525574,2.529456615447998,0.7343000173568726,0.8301136493682861,11.33564829826355
17,2.2631125450134277,0.7020000219345093,2.9044930934906006,0.6958000063896179,0.7591168880462646,12.094960451126099
18,2.6920628547668457,0.7815666794776917,2.0312955379486084,0.7742000222206116,0.7306993007659912,12.825831651687622
19,1.8281598091125488,0.7919333577156067,2.120983123779297,0.785099983215332,0.7666411399841309,13.592625141143799
20,1.9175904989242554,0.796750009059906,1.989893913269043,0.7875999808311462,0.931952953338623,14.52472472190857
21,1.8118325471878052,0.7879499793052673,1.8560848236083984,0.781499981880188,0.9268178939819336,15.451717853546143
22,1.716155767440796,0.7819166779518127,1.7166095972061157,0.7750999927520752,0.8455929756164551,16.297489643096924
23,1.567297101020813,0.7949666380882263,1.5474499464035034,0.7882999777793884,0.8614046573638916,17.159082174301147
24,1.390472650527954,0.7699000239372253,1.7406418323516846,0.7598999738693237,0.8894915580749512,18.048757553100586
25,1.5556198358535767,0.789983332157135,1.453914999961853,0.7753999829292297,0.8011248111724854,18.850053548812866
26,1.2880091667175293,0.8040333390235901,1.3391046524047852,0.7889999747276306,0.6634020805358887,19.51412868499756
27,1.1725376844406128,0.8126333355903625,1.1889680624008179,0.7997999787330627,0.6764717102050781,20.190762042999268
28,1.036285400390625,0.809149980545044,1.2387465238571167,0.7990000247955322,0.7165699005126953,20.90747356414795
29,1.0918327569961548,0.8126166462898254,1.2517589330673218,0.8023999929428101,0.8164150714874268,21.724104166030884
30,1.099537968635559,0.8263000249862671,1.0700955390930176,0.8138999938964844,0.7365162372589111,22.460822820663452
31,0.9099944233894348,0.8160833120346069,1.0572878122329712,0.8057000041007996,0.7106642723083496,23.171677350997925
32,0.9065565466880798,0.8196166753768921,0.9768778085708618,0.8080000281333923,0.6793396472930908,23.851216793060303
33,0.819430410861969,0.8078500032424927,1.038331389427185,0.7925000190734863,0.6072077751159668,24.458619117736816
34,0.8947739005088806,0.8040500283241272,1.0586028099060059,0.7904000282287598,0.5715208053588867,25.03034543991089
35,0.916469395160675,0.8256499767303467,0.9299871921539307,0.8126000165939331,0.6049082279205322,25.63537859916687
36,0.7759027481079102,0.8366666436195374,0.9244253039360046,0.8223000168800354,0.5854048728942871,26.220996141433716
37,0.7679802775382996,0.8246166706085205,1.0472372770309448,0.8151999711990356,0.6061639785766602,26.82733130455017
38,0.8888639211654663,0.830299973487854,1.106296420097351,0.8169999718666077,0.6604411602020264,27.487951517105103
39,0.9295779466629028,0.8359166383743286,0.9606689214706421,0.823199987411499,0.653994083404541,28.14215111732483
40,0.8135204315185547,0.8431166410446167,0.9282379150390625,0.8306999802589417,0.7006855010986328,28.842992544174194
41,0.7631561756134033,0.8481333255767822,0.8309184312820435,0.8310999870300293,0.7327620983123779,29.575933694839478
42,0.6689890623092651,0.839816689491272,0.8553423881530762,0.8266000151634216,0.5915579795837402,30.167670488357544
43,0.7072557210922241,0.8290666937828064,0.9354482293128967,0.8130000233650208,0.5911664962768555,30.759023904800415
44,0.7549455761909485,0.8308833241462708,0.8589619398117065,0.8170999884605408,0.6151285171508789,31.374321460723877
45,0.7168969511985779,0.8378333449363708,0.7945865988731384,0.8253999948501587,0.6109805107116699,31.98547124862671
46,0.6451808214187622,0.8436499834060669,0.7636497616767883,0.8270999789237976,0.5639595985412598,32.549636363983154
47,0.6039223074913025,0.8416833281517029,0.7557440996170044,0.828000009059906,0.5778234004974365,33.12761449813843
48,0.6325097680091858,0.8530833125114441,0.7281385064125061,0.8410999774932861,0.6147089004516602,33.74251365661621
49,0.586712658405304,0.8547666668891907,0.7243286371231079,0.8360999822616577,0.6708717346191406,34.41358304023743
50,0.5732851624488831,0.859499990940094,0.6633180379867554,0.8410000205039978,0.5818424224853516,34.99560046195984
51,0.5190256834030151,0.8570166826248169,0.6903529763221741,0.8389999866485596,0.6190452575683594,35.61482524871826
52,0.5431149005889893,0.8607166409492493,0.6787294745445251,0.8420000076293945,0.5522899627685547,36.16734504699707
53,0.5178744792938232,0.855983316898346,0.6617115139961243,0.8382999897003174,0.6200053691864014,36.78751468658447
54,0.5123525857925415,0.8594499826431274,0.6775919198989868,0.8392000198364258,0.6116845607757568,37.39941930770874
55,0.5222285985946655,0.868316650390625,0.5962651968002319,0.8490999937057495,0.6249880790710449,38.02455449104309
56,0.4400457441806793,0.8518999814987183,0.6872465014457703,0.833299994468689,0.5634503364562988,38.588204860687256
57,0.5272750854492188,0.8684499859809875,0.6024785041809082,0.8465999960899353,0.5570032596588135,39.145511627197266
58,0.4490390419960022,0.8665833473205566,0.6543377041816711,0.845300018787384,0.5363073348999023,39.682050943374634
59,0.4963672459125519,0.8780333399772644,0.5638391375541687,0.8593000173568726,0.5439684391021729,40.226210594177246
60,0.40973997116088867,0.8689500093460083,0.6294260621070862,0.8472999930381775,0.5156679153442383,40.74207949638367
61,0.47643202543258667,0.8737166523933411,0.5783025622367859,0.8535000085830688,0.5237526893615723,41.2660276889801
62,0.43190905451774597,0.8784999847412109,0.5529800057411194,0.8565000295639038,0.5588455200195312,41.82511043548584
63,0.40555045008659363,0.877216637134552,0.5635919570922852,0.8547999858856201,0.5311312675476074,42.356454849243164
64,0.4102972149848938,0.8769833445549011,0.5423264503479004,0.8547999858856201,0.49655604362487793,42.853209495544434
65,0.38798466324806213,0.8808833360671997,0.5187581777572632,0.8582000136375427,0.5542871952056885,43.40767025947571
66,0.3632306456565857,0.8716166615486145,0.5515772700309753,0.8485000133514404,0.5128583908081055,43.92075061798096
67,0.40070679783821106,0.8832833170890808,0.5035590529441833,0.8593000173568726,0.5026559829711914,44.4236364364624
68,0.3539862334728241,0.877133309841156,0.5378395318984985,0.8513000011444092,0.4963359832763672,44.92017078399658
69,0.38515251874923706,0.8890166878700256,0.4810728132724762,0.8647000193595886,0.5043609142303467,45.424760818481445
70,0.33377090096473694,0.8813666701316833,0.512953519821167,0.8593999743461609,0.49451732635498047,45.919485569000244
71,0.3688971996307373,0.8884833455085754,0.4918759763240814,0.8607000112533569,0.5272109508514404,46.44693422317505
72,0.340717613697052,0.8890666961669922,0.5031920671463013,0.8615999817848206,0.5744740962982178,47.02161717414856
73,0.3419441282749176,0.8884999752044678,0.4975707530975342,0.8607000112533569,0.555255651473999,47.57707691192627
74,0.33972907066345215,0.8907166719436646,0.4721187353134155,0.8634999990463257,0.5158624649047852,48.09312868118286
75,0.3197595775127411,0.8902000188827515,0.48522982001304626,0.862500011920929,0.5643100738525391,48.65763306617737
76,0.3310995399951935,0.8959000110626221,0.4560961425304413,0.8689000010490417,0.49889683723449707,49.15670871734619
77,0.3013615608215332,0.8910666704177856,0.47580084204673767,0.8636999726295471,0.49887514114379883,49.65581965446472
78,0.32147955894470215,0.8970166444778442,0.4502096176147461,0.8680999875068665,0.5001909732818604,50.15620994567871
79,0.2957104444503784,0.8950166702270508,0.4624553322792053,0.8658999800682068,0.49597835540771484,50.652825117111206
80,0.3066326081752777,0.8975333571434021,0.4456319212913513,0.866100013256073,0.486675500869751,51.139660596847534
81,0.2917976379394531,0.8979833126068115,0.4457913041114807,0.8666999936103821,0.4762299060821533,51.61608648300171
82,0.2914505898952484,0.9003333449363708,0.4464402198791504,0.868399977684021,0.4928882122039795,52.109201431274414
83,0.2875511348247528,0.9010000228881836,0.44144561886787415,0.8700000047683716,0.5030615329742432,52.61250162124634
84,0.2828906178474426,0.9004833102226257,0.43761181831359863,0.8694999814033508,0.484691858291626,53.09740328788757
